"property_id","forecast_month","predicted_noi","lower_bound","upper_bound","scenario_type"
"P00171","2026-09-01","139089.65625","136498.859375","141817.5625","BASELINE_ML"
"P00171","2026-10-01","137613.40625","135379.734375","140530.9375","BASELINE_ML"
"P00171","2026-11-01","136384.03125","133368.453125","139586.5","BASELINE_ML"
"P00171","2026-12-01","135242.640625","132715.875","137764.25","BASELINE_ML"
"P00172","2026-01-01","109559.96875","107400.1484375","111454.1484375","BASELINE_ML"
"P00172","2026-02-01","110889.078125","108695.5859375","113003.9296875","BASELINE_ML"
"P00172","2026-03-01","115333.453125","112808.5078125","117831.59375","BASELINE_ML"
"P00172","2026-04-01","117394.6875","114963.5078125","119726.2890625","BASELINE_ML"
"P00172","2026-05-01","118101.6796875","115977.3828125","120380.5390625","BASELINE_ML"
"P00172","2026-06-01","118543.21875","116282.875","120965.265625","BASELINE_ML"
